STATE_CODE_001,YEAR_BUILT_027,count(*)
1,1965,466
2,1985,80
4,1967,347
5,1965,409
6,1970,1389
8,1965,295
9,1958,368
10,1964,55
11,1964,62
12,1973,504
13,1960,589
15,1974,47
16,1960,173
17,1900,914
18,1956,686
19,1900,767
20,1930,1156
21,1970,482
22,1960,569
23,NULL,442
24,1963,205
25,1957,505
26,1962,507
27,1978,518
28,1965,515
29,1930,727
30,1976,178
31,1935,2762
32,1999,112
33,1930,163
34,1970,480
35,1970,158
36,1963,574
37,1960,792
38,1960,143
39,1900,1222
40,1940,1060
41,1960,275
42,1969,719
44,1965,87
45,1960,381
46,1930,253
47,1984,1065
48,1990,1362
49,1999,147
50,1919,123
51,1932,1157
53,1966,246
54,1997,196
55,1968,386
56,1960,190
72,1971,115
