YEAR_BUILT,STRUCTURE_KIND,BRIDGES_BUILT,RATIO
1900,0,46,0.00598647
1900,1,1584,0.206143
1900,2,303,0.0394326
1900,3,3960,0.515357
1900,4,195,0.0253774
1900,5,700,0.0910984
1900,6,36,0.00468506
1900,7,417,0.0542686
1900,8,355,0.0461999
1900,9,46,0.00598647
1910,0,17,0.00247994
1910,1,2555,0.372721
1910,2,512,0.07469
1910,3,2888,0.421298
1910,4,134,0.0195478
1910,5,379,0.0552881
1910,6,24,0.00350109
1910,7,125,0.0182349
1910,8,185,0.0269876
1910,9,14,0.0020423
1920,0,28,0.00142915
1920,1,10234,0.522356
1920,2,1948,0.0994283
1920,3,5365,0.273836
1920,4,434,0.0221519
1920,5,1013,0.0517048
1920,6,68,0.0034708
1920,7,324,0.0165374
1920,8,146,0.00745202
1920,9,6,0.000306247
1930,0,39,0.000855413
1930,1,19678,0.431611
1930,2,4619,0.101312
1930,3,15489,0.339731
1930,4,1650,0.0361906
1930,5,1597,0.0350281
1930,6,136,0.00298298
1930,7,1953,0.0428365
1930,8,399,0.00875153
1930,9,7,0.000153535
1940,0,14,0.000498539
1940,1,11242,0.400328
1940,2,3854,0.137241
1940,3,8504,0.302827
1940,4,1917,0.0682644
1940,5,622,0.0221494
1940,6,55,0.00195855
1940,7,1721,0.0612848
1940,8,126,0.00448686
1940,9,8,0.000284879
1950,0,44,0.000581157
1950,1,24735,0.326703
1950,2,12406,0.16386
1950,3,20438,0.269948
1950,4,9317,0.12306
1950,5,4818,0.0636367
1950,6,446,0.00589082
1950,7,3359,0.0443661
1950,8,39,0.000515116
1950,9,15,0.000198121
1960,0,33,0.000251825
1960,1,28313,0.216059
1960,2,24402,0.186214
1960,3,28134,0.214693
1960,4,20719,0.158108
1960,5,23352,0.178201
1960,6,2388,0.018223
1960,7,3416,0.0260678
1960,8,10,0.00007631
1960,9,42,0.000320505
1970,0,31,0.000301562
1970,1,19971,0.194274
1970,2,12003,0.116763
1970,3,20217,0.196667
1970,4,16005,0.155694
1970,5,25611,0.249139
1970,6,5595,0.0544271
1970,7,2792,0.0271601
1970,8,3,0.000029183
1970,9,174,0.00169264
1980,0,28,0.000311273
1980,1,18674,0.207597
1980,2,10072,0.11197
1980,3,15421,0.171434
1980,4,9097,0.101131
1980,5,26894,0.298978
1980,6,6871,0.0763843
1980,7,2426,0.0269696
1980,8,2,0.000022233
1980,9,312,0.00346848
1990,0,37,0.000396412
1990,1,20410,0.21867
1990,2,8674,0.0929321
1990,3,15314,0.164072
1990,4,8511,0.0911857
1990,5,28328,0.303502
1990,6,9279,0.099414
1990,7,2306,0.0247062
1990,8,3,0.000032141
1990,9,380,0.00407127
2000,0,59,0.000701946
2000,1,18540,0.220578
2000,2,6593,0.0784395
2000,3,12875,0.153179
2000,4,8161,0.0970947
2000,5,27033,0.321622
2000,6,9317,0.110848
2000,7,915,0.0108861
2000,8,7,0.000083281
2000,9,388,0.00461619
2010,0,77,0.00200182
2010,1,8354,0.217184
2010,2,2564,0.066658
2010,3,5452,0.141739
2010,4,3066,0.0797088
2010,5,14456,0.375822
2010,6,3843,0.099909
2010,7,295,0.00766931
2010,8,3,0.000077992
2010,9,269,0.00699337
