YEAR_BUILT,STRUCTURE_KIND,BRIDGES_BUILT,RATIO
1900,0,40,0.00810865
1900,1,966,0.195824
1900,2,235,0.0476384
1900,3,2477,0.502129
1900,4,122,0.0247314
1900,5,484,0.0981147
1900,6,24,0.00486519
1900,7,359,0.0727752
1900,8,187,0.037908
1900,9,29,0.00587877
1901,1,79,0.227666
1901,2,9,0.0259366
1901,3,173,0.498559
1901,4,5,0.0144092
1901,5,23,0.0662824
1901,7,13,0.037464
1901,8,42,0.121037
1901,9,3,0.00864553
1902,1,20,0.11976
1902,2,3,0.0179641
1902,3,99,0.592814
1902,4,3,0.0179641
1902,5,16,0.0958084
1902,7,7,0.0419162
1902,8,13,0.0778443
1902,9,3,0.0179641
1903,1,24,0.148148
1903,2,4,0.0246914
1903,3,85,0.524691
1903,4,7,0.0432099
1903,5,22,0.135802
1903,6,2,0.0123457
1903,7,2,0.0123457
1903,8,15,0.0925926
1904,0,1,0.00456621
1904,1,39,0.178082
1904,2,5,0.0228311
1904,3,119,0.543379
1904,4,5,0.0228311
1904,5,17,0.0776256
1904,7,5,0.0228311
1904,8,18,0.0821918
1904,9,1,0.00456621
1905,0,1,0.00257732
1905,1,62,0.159794
1905,2,7,0.0180412
1905,3,231,0.595361
1905,4,6,0.0154639
1905,5,38,0.0979381
1905,6,1,0.00257732
1905,7,5,0.0128866
1905,8,29,0.0747423
1905,9,3,0.00773196
1906,1,42,0.170732
1906,2,3,0.0121951
1906,3,143,0.581301
1906,4,10,0.0406504
1906,5,24,0.097561
1906,6,1,0.00406504
1906,7,7,0.0284553
1906,8,12,0.0487805
1906,9,2,0.00813008
1907,0,3,0.0103448
1907,1,70,0.241379
1907,2,8,0.0275862
1907,3,150,0.517241
1907,4,4,0.0137931
1907,5,23,0.0793103
1907,6,2,0.00689655
1907,7,7,0.0241379
1907,8,14,0.0482759
1907,9,1,0.00344827
1908,0,1,0.00311526
1908,1,66,0.205607
1908,2,16,0.0498442
1908,3,176,0.548287
1908,4,13,0.0404984
1908,5,26,0.0809969
1908,6,3,0.00934579
1908,7,3,0.00934579
1908,8,14,0.0436137
1908,9,2,0.00623053
1909,1,216,0.353519
1909,2,13,0.0212766
1909,3,307,0.502455
1909,4,20,0.0327332
1909,5,27,0.0441899
1909,6,3,0.00490998
1909,7,9,0.0147299
1909,8,11,0.0180033
1909,9,2,0.00327332
1910,0,3,0.0021322
1910,1,300,0.21322
1910,2,60,0.0426439
1910,3,791,0.562189
1910,4,25,0.0177683
1910,5,110,0.0781805
1910,6,5,0.00355366
1910,7,38,0.0270078
1910,8,68,0.0483298
1910,9,5,0.00355366
1911,1,143,0.330254
1911,2,23,0.0531178
1911,3,218,0.503464
1911,4,8,0.0184758
1911,5,15,0.034642
1911,6,3,0.00692841
1911,7,7,0.0161663
1911,8,10,0.0230947
1911,9,1,0.00230947
1912,1,152,0.323404
1912,2,24,0.0510638
1912,3,224,0.476596
1912,4,13,0.0276596
1912,5,23,0.0489362
1912,6,2,0.00425532
1912,7,8,0.0170213
1912,8,22,0.0468085
1913,1,170,0.37694
1913,2,29,0.0643016
1913,3,193,0.427938
1913,4,18,0.0399113
1913,5,25,0.0554324
1913,7,7,0.0155211
1913,8,7,0.0155211
1914,1,221,0.365894
1914,2,65,0.107616
1914,3,240,0.397351
1914,4,18,0.0298013
1914,5,37,0.0612583
1914,6,2,0.00331126
1914,7,6,0.00993377
1914,8,11,0.0182119
1914,9,1,0.00165563
1915,0,2,0.00181159
1915,1,435,0.394022
1915,2,73,0.0661232
1915,3,465,0.421196
1915,4,19,0.0172101
1915,5,55,0.0498188
1915,6,3,0.00271739
1915,7,20,0.0181159
1915,8,29,0.0262681
1915,9,3,0.00271739
1916,1,265,0.444631
1916,2,59,0.0989933
1916,3,211,0.354027
1916,4,5,0.00838926
1916,5,40,0.0671141
1916,6,2,0.0033557
1916,7,5,0.00838926
1916,8,7,0.011745
1916,9,1,0.00167785
1917,0,2,0.00364299
1917,1,270,0.491803
1917,2,48,0.0874317
1917,3,178,0.324226
1917,4,11,0.0200364
1917,5,23,0.0418944
1917,6,2,0.00364299
1917,7,4,0.00728597
1917,8,8,0.0145719
1917,9,1,0.00182149
1918,0,8,0.0141093
1918,1,304,0.536155
1918,2,69,0.121693
1918,3,143,0.252205
1918,4,7,0.0123457
1918,5,15,0.026455
1918,6,3,0.00529101
1918,7,7,0.0123457
1918,8,8,0.0141093
1918,9,1,0.00176367
1919,0,2,0.00296736
1919,1,295,0.437685
1919,2,62,0.0919881
1919,3,225,0.333828
1919,4,10,0.0148368
1919,5,36,0.0534125
1919,6,2,0.00296736
1919,7,23,0.0341246
1919,8,15,0.0222552
1919,9,1,0.00148368
1920,0,3,0.000918273
1920,1,1105,0.338231
1920,2,265,0.0811142
1920,3,1396,0.427303
1920,4,58,0.0177533
1920,5,249,0.0762167
1920,6,5,0.00153046
1920,7,104,0.0318335
1920,8,75,0.0229568
1920,9,6,0.00183655
1921,1,494,0.563284
1921,2,99,0.112885
1921,3,204,0.232611
1921,4,29,0.0330673
1921,5,34,0.0387685
1921,7,6,0.0068415
1921,8,8,0.00912201
1922,0,4,0.00365297
1922,1,628,0.573516
1922,2,130,0.118721
1922,3,243,0.221918
1922,4,14,0.0127854
1922,5,52,0.0474886
1922,6,4,0.00365297
1922,7,11,0.0100457
1922,8,8,0.00730594
1923,0,1,0.000938967
1923,1,614,0.576526
1923,2,117,0.109859
