DECADE_BUILT,STRUCTURE_TYPE,BRIDGES_BUILT,RATIO
1900,00,339,0.0441176
1900,01,643,0.0836804
1900,02,2825,0.367647
1900,03,557,0.0724883
1900,04,148,0.0192608
1900,05,575,0.0748308
1900,06,19,0.00247267
1900,07,35,0.00455492
1900,08,2,0.000260281
1900,09,27,0.00351379
1900,10,962,0.125195
1900,11,652,0.0848516
1900,12,10,0.00130141
1900,13,12,0.00156169
1900,15,3,0.000390421
1900,16,9,0.00117126
1900,17,19,0.00247267
1900,19,717,0.0933108
1900,20,1,0.00013014
1900,22,87,0.0113222
1910,00,134,0.0195478
1910,01,755,0.110139
1910,02,1812,0.264333
1910,03,496,0.0723559
1910,04,481,0.0701678
1910,05,265,0.0386579
1910,06,21,0.00306346
1910,07,28,0.00408461
1910,09,23,0.00335522
1910,10,1078,0.157257
1910,11,1207,0.176076
1910,12,30,0.00437637
1910,13,2,0.000291757
1910,15,22,0.00320934
1910,16,25,0.00364697
1910,17,7,0.00102115
1910,19,416,0.0606856
1910,20,2,0.000291757
1910,21,1,0.000145878
1910,22,27,0.00393873
1920,00,170,0.00867701
1920,01,2850,0.145468
1920,02,4764,0.24316
1920,03,835,0.0426194
1920,04,3740,0.190894
1920,05,727,0.037107
1920,06,60,0.00306247
1920,07,120,0.00612495
1920,08,3,0.000153123
1920,09,59,0.00301143
1920,10,1164,0.059412
1920,11,1505,0.0768171
1920,12,62,0.00316456
1920,13,20,0.00102082
1920,15,5,0.000255206
1920,16,61,0.00311351
1920,17,15,0.000765618
1920,19,3323,0.16961
1920,20,7,0.000357288
1920,22,73,0.00372601
1930,00,93,0.00203983
1930,01,5819,0.127632
1930,02,15769,0.345872
1930,03,1632,0.0357958
1930,04,5002,0.109712
1930,05,1086,0.02382
1930,06,130,0.00285138
1930,07,734,0.0160993
1930,08,3,0.000065801
1930,09,159,0.00348745
1930,10,1841,0.0403799
1930,11,1349,0.0295885
1930,12,76,0.00166696
1930,13,34,0.000745744
1930,15,29,0.000636076
1930,16,62,0.00135989
1930,17,31,0.000679943
1930,19,11528,0.252851
1930,20,7,0.000153535
1930,21,2,0.000043867
1930,22,181,0.00396999
1940,00,58,0.00206538
1940,01,3927,0.13984
1940,02,10879,0.387401
1940,03,654,0.0232889
1940,04,2650,0.0943665
1940,05,477,0.016986
1940,06,86,0.00306246
1940,07,567,0.0201909
1940,08,1,0.000035609
1940,09,61,0.00217221
1940,10,563,0.0200484
1940,11,423,0.015063
1940,12,26,0.000925859
1940,13,4,0.000142439
1940,15,16,0.000569759
1940,16,29,0.00103269
1940,17,16,0.000569759
1940,19,7507,0.267324
1940,20,4,0.000142439
1940,22,115,0.00409515
1950,00,148,0.0019548
1950,01,9596,0.126745
1950,02,33900,0.447755
1950,03,1578,0.0208424
